# Frame_ID, Timestamp(ns), X(m), Y(m), Z(m), Qw, Qx, Qy, Qz
160, 4980551719, -0.006741, 0.044123, -0.061561, 0.999985, 0.004479, -0.001702, -0.002573
161, 5013940095, -0.006440, 0.044069, -0.061691, 0.999985, 0.004448, -0.001775, -0.002650
162, 5047395706, -0.005999, 0.043914, -0.062373, 0.999985, 0.004418, -0.001816, -0.002628
163, 5081263303, -0.006246, 0.044115, -0.062048, 0.999985, 0.004463, -0.001813, -0.002655
164, 5114167928, -0.005890, 0.044014, -0.062602, 0.999985, 0.004475, -0.001840, -0.002605
165, 5147462129, -0.005826, 0.044102, -0.062486, 0.999985, 0.004481, -0.001866, -0.002603
166, 5180994033, -0.005478, 0.044000, -0.062799, 0.999985, 0.004470, -0.001917, -0.002645
167, 5214290857, -0.005743, 0.044131, -0.062722, 0.999985, 0.004494, -0.001885, -0.002613
168, 5247606277, -0.005436, 0.043950, -0.063128, 0.999985, 0.004466, -0.001946, -0.002633
169, 5281021356, -0.005438, 0.044132, -0.063197, 0.999985, 0.004498, -0.001945, -0.002610
170, 5314536333, -0.005602, 0.044026, -0.063196, 0.999985, 0.004482, -0.001935, -0.002671
171, 5347880363, -0.005676, 0.044151, -0.063017, 0.999984, 0.004478, -0.001954, -0.002683
172, 5381431102, -0.005771, 0.044086, -0.062810, 0.999984, 0.004488, -0.001934, -0.002687
173, 5414726018, -0.005898, 0.044017, -0.062864, 0.999985, 0.004472, -0.001908, -0.002668
174, 5448430776, -0.006456, 0.044132, -0.062234, 0.999985, 0.004517, -0.001875, -0.002648
175, 5481801271, -0.007480, 0.044382, -0.061212, 0.999985, 0.004493, -0.001748, -0.002679
176, 5515682458, -0.008478, 0.044519, -0.060263, 0.999985, 0.004515, -0.001626, -0.002646
177, 5548391819, -0.009218, 0.044713, -0.059636, 0.999985, 0.004520, -0.001532, -0.002678
178, 5582069396, -0.009792, 0.044979, -0.059295, 0.999985, 0.004562, -0.001466, -0.002642
179, 5615203380, -0.010057, 0.045238, -0.059003, 0.999985, 0.004582, -0.001438, -0.002665
180, 5648570775, -0.010086, 0.045574, -0.058866, 0.999985, 0.004600, -0.001427, -0.002682
181, 5682178020, -0.009250, 0.046446, -0.058728, 0.999984, 0.004674, -0.001501, -0.002709
